Musolla Location,Address,Postal Code
Bedok Mall,New Upper Changi Road,Singapore 467360
Century Square,2 Tampines Central 5,Singapore 529509
Changi Airport Terminal 1 (Transit Area),Airport Boulevard,Singapore 819642
Changi Airport Terminal 2 (Transit Area),Airport Boulevard,Singapore 819643
Changi Airport Terminal 3 (Transit Area),Airport Boulevard,Singapore 819663
Changi Airport Terminal 4 (Transit Area),10 Airport Boulevard,Singapore 819665
Changi Airport Jewel,Airport Boulevard,Singapore 819663
City Plaza,Geylang Road,Singapore 409286
Downtown East,Pasir Ris Close,Singapore 519599
EastPoint Mall,Simei Street 6,Singapore 528833
Elias Mall,Elias Road,Singapore 510685
Ikea Tampines,Tampines North Drive 2,Singapore 528764
Rasa Istimewa @ Pasir Ris,Pasir Ris Road,Singapore 519147
Singapore Expo,Expo Drive,Singapore 486150
Singpost Centre,Eunos Road 8,Singapore 408600
Tampines Mall,Tampines Central 5,Singapore 529510
Waterway Point,83 Punggol Central,Singapore 828761
Wisma Geylang Serai,"Engku Aman Road, Turn",Singapore 408528
Asia Square Tower 1,Marina View,Singapore 018960
Bulkhaul House,Beach Road,Singapore 169688
City Square Mall,Kitchener Road,Singapore 208539
Dhia.SG,29 Sultan Gate,Singapore 198477
Environment Building,Scotts Road,Singapore 228231
Fairmont Hotel Singapore,Brash Basah Road,Singapore 189560
Gardens By The Bay,Marina Gardens Dr,Singapore 018953
HDB Hub,Lorong 6 Toa Payoh,Singapore 310470
International Plaza,Anson Road,Singapore 079903
Kallang Wave Mall,Stadium Place,Singapore 397628
Lucky Plaza,Orchard Road,Singapore 238863
Marina Square,Raffles Boulevard,Singapore 039594
National Staidum,Stadium Drive,Singapore 397629
Orchard Hotel,Orchard Road,Singapore 238879
Plaza Singapura,Orchard Road,Singapore 238839
Raffles City Shopping Centre,North Bridge Road,Singapore 179103
Singapore Flyer,Raffles Avenue,Singapore 039803
